ALL_SCHOOLS,ADDRESS,POSTALCODE,X_COORDINATES,Y_COORDINATES,LATITUDE,LONGTITUDE
GREENVIEW SECONDARY SCHOOL,15 PASIR RIS STREET 21,518969,42399.9751,39030.7918,1.369233,103.962377
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS DR 62,737942,24807.3255,46865.6395,1.43985,103.804609
GUANGYANG PRIMARY SCHOOL,6 BISHAN STREET 12,579806,29795.6102,36425.0979,1.346017,103.849681
GUANGYANG SECONDARY SCHOOL,8 BISHAN STREET 12,579807,29917.6934,36312.6593,1.344693,103.850566
HAI SING CATHOLIC SCHOOL,9 PASIR RIS DRIVE 6,519421,41536.9732,39594.1037,1.374513,103.954463
HAIG GIRLS' SCHOOL,51 KOON SENG ROAD,427072,35758.8373,32681.8236,1.311559,103.902621
HENDERSON SECONDARY SCHOOL,100 HENDERSON RD,159544,26465.0256,29725.158,1.285033,103.819595
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD,278790,22534.5022,33222.4214,1.3168709,103.784132
HILLGROVE SECONDARY SCHOOL,10 BUKIT BATOK STREET 52,659250,19067.2795,37204.2818,1.352752,103.753048
HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD,534786,35020.0628,39284.0955,1.371204,103.896018
HOLY INNOCENTS' PRIMARY SCHOOL,5 LORONG LOW KOON,536451,34717.9667,38752.5265,1.366573,103.893711
HONG KAH SECONDARY SCHOOL,931 JURONG WEST STREET 42,649370,16148.7931,37139.2351,1.351759,103.726968
HONG WEN SCHOOL,30 TOWNER ROAD,327829,30705.2668,33779.3659,1.321704,103.857647
HORIZON PRIMARY SCHOOL,61 EDGEDALE PLAINS,828819,36912.5247,42380.7999,1.400025,103.913058
HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93,534238,33324.8488,40002.2154,1.37734,103.881046
HOUGANG SECONDARY SCHOOL,2 HOUGANG STREET 93,534256,33477.0592,39958.0253,1.377661,103.88253
HUA YI SECONDARY SCHOOL,60 JURONG WEST ST 42,649371,15592.8322,37161.0914,1.351473,103.72158
HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11,768857,29215.4178,45412.9267,1.426943,103.843853
HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD,269734,24794.241,34152.7393,1.324644,103.8059
INNOVA JUNIOR COLLEGE,21 CHAMPIONS WAY,737902,23021.6352,45780.4591,1.429201,103.788334
INNOVA PRIMARY SCHOOL,80 WOODLANDS DRIVE 17,737888,23246.8971,45633.4724,1.428957,103.790631
JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71,768515,27675.3272,45482.9478,1.427671,103.830498
JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52,569228,30057.9887,39322.4454,1.3714789,103.851863
JUNYUAN PRIMARY SCHOOL,2 TAMPINES STREET 91,528906,39785.7293,36666.4461,1.347973,103.940012
JUNYUAN SECONDARY SCHOOL,11 TAMPINES STREET 84,528933,39157.5625,37267.7627,1.353327,103.933573
JURONG JUNIOR COLLEGE,800 CORPORATION ROAD,649809,14660.972,36950.8625,1.350886,103.713267
JURONG PRIMARY SCHOOL,320 JURONG EAST STREET 32,609476,16832.8477,36756.4272,1.348679,103.732992
JURONG SECONDARY SCHOOL,31 YUAN CHING ROAD,618652,15845.0552,34706.722,1.330365,103.724282
JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61,648368,13023.2359,35764.5549,1.339037,103.698854
JURONG WEST SECONDARY SCHOOL,61 JURONG WEST STREET 65,648348,13396.5338,35271.7688,1.335276,103.702086
JURONGVILLE SECONDARY SCHOOL,202 JURONG EAST AVENUE 1,609790,16380.2395,37044.3966,1.351493,103.729161
JUYING PRIMARY SCHOOL,31 JURONG WEST STREET 91,649037,11809.0041,35680.4454,1.33837,103.688061
JUYING SECONDARY SCHOOL,33 JURONG WEST STREET 91,649038,11739.267,35595.0173,1.338205,103.687205
KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6,659762,19445.4282,36407.3312,1.344781,103.756511
KENT RIDGE SECONDARY SCHOOL,147 WEST COAST ROAD,127368,20384.4722,31508.7734,1.301511,103.765385
KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH,319580,29539.0956,35500.8163,1.337666,103.847796
KONG HWA SCHOOL,350 GUILLEMARD ROAD,399772,34108.8315,32601.9336,1.3112919,103.888386
KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54,689189,18434.1544,41718.0171,1.393694,103.7477849
KRANJI SECONDARY SCHOOL,61 CHOA CHU KANG STREET 51,689333,17749.5093,41334.6115,1.390468,103.7416609
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,2 ANG MO KIO STREET 23,569341,28756.062,38923.0296,1.36826,103.840503
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10 BISHAN ST. 13,579795,30400.8432,36913.792,1.350135,103.854907
LAKESIDE PRIMARY SCHOOL,161 CORPORATION WALK,618310,15171.8889,35616.6032,1.338216,103.717603
LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52,659243,19191.198,37370.8497,1.354143,103.754202
LOYANG PRIMARY SCHOOL,3 PASIR RIS DRIVE 6,519419,41636.21,39214.9007,1.370648,103.955936
LOYANG SECONDARY SCHOOL,12 PASIR RIS STREET 11,519073,41758.1067,38735.804,1.366972,103.956826
MACPHERSON PRIMARY SCHOOL,2 MATTAR ROAD,387724,33375.4593,34085.7864,1.324557,103.881618
MACPHERSON SECONDARY SCHOOL,121 CIRCUIT ROAD,379499,34173.7788,34390.4872,1.3271329,103.888668
MAHA BODHI SCHOOL,10 UBI AVENUE 1,408931,35590.9737,34514.1982,1.329011,103.901381
MANJUSRI SECONDARY SCHOOL,20 UBI AVE 1,408940,35612.3793,34410.634,1.327215,103.901803
MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD,368051,32956.1427,35950.1757,1.341737,103.8782839
MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD,738927,21365.1012,46236.8238,1.433827,103.773663
MARSILING SECONDARY SCHOOL,12 MARSILING ROAD,739110,21622.2166,46482.4189,1.436669,103.775995
MARYMOUNT CONVENT SCHOOL,430 LORONG 1 TOA PAYOH,319759,29101.0705,35818.0768,1.340196,103.843209
MAYFLOWER PRIMARY SCHOOL,200 ANG MO KIO AVE 5,569878,29105.5559,39818.2753,1.376395,103.843181
MAYFLOWER SECONDARY SCHOOL,2 ANG MO KIO STREET 21,569384,28235.9464,38929.2962,1.368331,103.835438
MEE TOH SCHOOL,21 EDGEDALE PLAINS,828867,36376.657,41835.4725,1.394828,103.90904
MERIDIAN JUNIOR COLLEGE,21 PASIR RIS STREET 71,518799,39537.676,39813.7659,1.376067,103.937002
MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71,518798,39303.5458,39724.6886,1.375781,103.935197
METHODIST GIRLS' SCHOOL (PRIMARY),11 BLACKMORE DRIVE,599986,22395.9095,35014.1998,1.332954,103.782566
METHODIST GIRLS' SCHOOL (SECONDARY),11 BLACKMORE DRIVE,599986,22395.9095,35014.1998,1.332954,103.782566
MILLENNIA INSTITUTE,60 BUKIT BATOK WEST AVENUE 8,658965,17792.0291,36937.1557,1.350343,103.741592
MONTFORT JUNIOR SCHOOL,52 HOUGANG AVENUE 8,538786,34230.9111,39536.1152,1.373864,103.889614
MONTFORT SECONDARY SCHOOL,50 HOUGANG AVENUE 8,538785,34188.7133,39551.2436,1.373518,103.888992
NAN CHIAU HIGH SCHOOL,20 ANCHORVALE LINK,545079,34339.7593,41179.5937,1.388713,103.890283
NAN CHIAU PRIMARY SCHOOL,50 ANCHORVALE LINK,545080,34410.836,41553.0341,1.391841,103.890834
NAN HUA HIGH SCHOOL,41 CLEMENTI AVENUE 1,129956,20793.107,32268.109,1.30807,103.769189
NAN HUA PRIMARY SCHOOL,30 JALAN LEMPENG,128806,19963.6906,33497.7939,1.319799,103.761213
NANYANG GIRLS' HIGH SCHOOL,2 LINDEN DRIVE,288683,24561.4161,34754.6755,1.330651,103.802221
NANYANG JUNIOR COLLEGE,128 SERANGOON AVENUE 3,556111,31692.578,36932.9914,1.350297,103.866494
NANYANG PRIMARY SCHOOL,52 KING'S ROAD,268097,25154.4872,33678.1374,1.320943,103.808147
NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD,288913,24749.487,34722.5672,1.329973,103.804488
NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4,769028,28609.7464,44230.5806,1.416055,103.839091
NAVAL BASE SECONDARY SCHOOL,901 YISHUN RING ROAD,768689,27747.5834,44573.2145,1.41924,103.8310319
NEW TOWN PRIMARY SCHOOL,300 TANGLIN HALT ROAD,148812,24303.3274,31333.3311,1.299825,103.799953
NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD,139657,21346.3538,32418.5708,1.30915,103.773605
NGEE ANN PRIMARY SCHOOL,344 MARINE TERRACE,449149,37411.0195,32002.4518,1.305526,103.917371
NGEE ANN SECONDARY SCHOOL,1 TAMPINES STREET 32,529283,41736.1101,37396.7895,1.354061,103.9569719
NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET,545088,35777.2006,40999.8399,1.386881,103.903609
NORTH VIEW PRIMARY SCHOOL,210 YISHUN AVENUE 6,768960,29655.0564,45473.7926,1.427616,103.848313
NORTH VIEW SECONDARY SCHOOL,530 YISHUN RING ROAD,768680,29284.7724,45451.1821,1.427923,103.844727
NORTH VISTA PRIMARY SCHOOL,20 COMPASSVALE LINK,544974,34971.4043,40531.0861,1.382913,103.89588
NORTH VISTA SECONDARY SCHOOL,11 RIVERVALE LINK,545081,35330.5266,40344.0975,1.381017,103.899463
NORTHBROOKS SECONDARY SCHOOL,585 YISHUN RING ROAD,768692,29329.4324,44759.4327,1.421082,103.845179
NORTHLAND PRIMARY SCHOOL,15 YISHUN AVENUE 4,769026,28846.8655,44749.1497,1.420935,103.840768
NORTHLAND SECONDARY SCHOOL,3 YISHUN STREET 22,768578,28755.1907,46389.19,1.435827,103.840098
NORTHLIGHT SCHOOL,151 TOWNER ROAD,327830,30497.4603,33484.9284,14.4847751,121.0232414
NORTHOAKS PRIMARY SCHOOL,61 SEMBAWANG DRIVE,757622,25806.7565,48696.3499,1.456638,103.813826
