osm_id,name,type
49967807,School of Physical and Mathematical Sciences,university
49967820,School of Electrical and Electronic Engineering,university
49967822,School of Electrical and Electronic Engineering,university
49967851,Wee Kim Wee School of Communication and Informat,university
49967856,School of Humanities and Social Sciences,university
49967874,Research Techno Plaza,university
49967875,School of Mechnical and Aerospace Engineering,university
49967883,School of Computer Engineering,university
49967895,School of Materials Science and Engineering,university
49967975,School of Civil and Environmental Engineering,university
49968001,School of Chemical and Biomedical Engineering,university
49968067,School of Biological Sciences,university
49968075,Business Library (Blk N2),university
49968086,Animal House,university
49968559,"School of Art, Design and Media",university
49968619,Nanyang Auditorium,
49968758,Administration Building,
49968759,Innovation Centre,
49968763,Chinese Heritage Centre,museum
49968776,Student Services Centre,
49968787,Fullerton Medical Clinic,clinic
49968793,Nanyang Child Care Centre,
49968849,SIMTECH Valley Block,
49969010,SIMTECH Tower Block,
49988607,"National Institute of Education, Singapore",
49989264,Nanyang House,
49989555,Electromagnetic Effects Research Lab,
51761904,Singapore Flyer,
51814793,,reservoir_covere
51814797,,reservoir_covere
51814799,,reservoir_covere
52236347,313@Somerset,
52238208,TripleOne Somerset,
52975976,Queenstown Community Library,library
52976062,Delta Sports Complex,
52981440,Blk 6,
53833265,Guthrie House,retail
54029143,Hort Centre,
54029856,hands-On House,
54029861,Prototype ClassHouse,
54032311,Gillman Barracks,
54032312,Little Bali,
54032313,Mirage Fineteak,
54032314,OrangeTree,
54032315,111,
54032317,113,
54032318,114,
54032319,Alkaff Mansion,
54032321,23,
54032322,24,
54032323,25,
54032324,Depot Heights Shopping Centre,
54032325,109,
54032326,103A/B,
54032328,104A/B,
54032330,106A/B,
54032331,Hewlett Packard,
54032332,Defence Technology Tower A,
54032336,Central Manpower Base,
54032376,Defence Technology Tower B,
54131789,1200,
54131790,1160,
54131791,Sanmina Sci Systems,
54131793,Danish Seamen's Church,
54131795,,parking
54139142,Bay Hotel Singapore,hotel
54139143,Telok Blangah House,
54139150,31,
54139153,Blk 42,
54139154,Blk 43,
54139159,30,
54139162,,
54139195,Seah Im Food Centre,
54517785,Battle for Pasir Panjang,
54517789,The Cavendish,
54517795,,apartments
54517796,,apartments
54518326,The Gemini,
54518327,The Alpha,
54518329,The Aries,
54518332,The Aquarius,
54518333,The Crimson,
54519129,PSA Vista,
54519150,Yess Centre,
54583485,,construction
54583487,University Health Centre,
54583488,Computer Centre,
54583490,Central Library,library
54583491,Yusof Ishak House,
54583929,E5,
54583930,University Cultural Centre,theatre
54619685,Hon Sui Sen Memorial Library,library
54619687,I3,
54619694,Kent Ridge Guild House Extension,
54619697,BIZ2,
54619698,,
54619699,COM2,
54619703,Institute of Materials Research and Engineering,
54619717,EW1,
54619721,COM1,
54619725,AS6,
54619730,Singapore Synchrotron Light Source,
54619731,Centre for Arts Studio,
54619732,Visitors' Lodge,
54619777,NUS Staff Club,
54619794,Lee Kong Chian Natural History Museum,
54619797,Singapore Wind Tunnel Facility,
54619808,MPSH 5,
54725325,NParks Information Kiosk,
54725327,,
54725328,Tua Pek Kong Temple,
54725335,,police
54725336,Visitor Centre,
54725340,Ranger Station,
54964882,Ubin Management Office,
54964887,HSBC Volunteer Hub,
55619084,Philips TP1,
55620267,Philips TP2,
55621433,Philips TP3,
55622064,Philips TP4,
55625466,,
56102139,,
58199780,German Centre,
62204073,Sembawang Shopping Centre,
62272679,Alkaff Mosque Kampung Melayu,place_of_worship
67327914,Selataris,
71074795,548,
71074841,Causeway Point,
71395036,Bodytalk Wellness Spa,
71395037,Baby n'Kids Specialist Clinic,doctors
71395038,Toast Box,restaurant
71395039,Sugalight,ice_cream
71395040,Hainanese Curry Rice,restaurant
71395041,Country Haven,
71395042,The Learning Boutique,school
71395043,Watsons,pharmacy
71395044,Healthcare Medical,doctors
71400533,Eat.,restaurant
71400535,My Eyeroom,
71400536,Jan & Elly,school
71400538,Blooie's Roadhouse,pub
71400539,The Coffee Bean & Tea Leaf,cafe
71400541,Sunnychoice,
71400542,Cold Storage,
71400544,RHB Bank,bank
71400545,Subway,fast_food
71400547,The Brilliant Cut,
71400548,The Straits Wine Company,bar
72570063,Metta Home & Hospice,
72570927,,
72571087,,
72576604,,
72577060,,
72577743,,
72577755,,
72579330,,
72580658,,
72585131,,
72586401,,
72587447,,
72590076,,
72590089,,parking
72590356,,
72590928,,
72590939,,
72592078,,
72592104,,
72592327,,
72654475,,
72654480,,
72654481,,
72658359,,
72658361,,
72658362,,parking
72658569,,
72658570,,
72658571,,
72658572,,
72658574,,
72658799,,
72658800,,
72658801,,
72658803,,
72658804,,
72660277,,
72660278,,parking
72660279,,
72660285,,
72660286,,
72660563,,parking
72660564,,
72660565,,
72660642,,
72660643,,
72660644,,
72660645,,
72664388,,
72664390,,
72664391,,
72664393,,
72664394,,
72664395,,
72664782,,
